1M,0.00082
2M,0.00080
3M,0.00078
4M,0.00075
5M,0.00072
6M,0.00069
9M,0.00061
1Y,0.00055
18M,0.00045
2Y,0.00038
3Y,0.00040
4Y,0.00075
5Y,0.00134
7Y,0.00279
10Y,0.00481
12Y,0.00589
15Y,0.00703
20Y,0.00819
25Y,0.00870
30Y,0.00895
40Y,0.00865
50Y,0.00791
